ranch,plot,tag_number,row,column,shoots_1998,height_1998,infl_1998,notes_1998,shoots_1999,height_1999,infl_1999,notes_1999,shoots_2000,height_2000,infl_2000,notes_2000,shoots_2001,height_2001,infl_2001,notes_2001,shoots_2002,height_2002,infl_2002,notes_2002,shoots_2003,height_2003,infl_2003,notes_2003
Dimona,2107,154,E,7,2,39,0,NA,3,29,0,NA,2,28,0,NA,2,27,0,NA,4,35,0,NA,3,28,0,NA
Dimona,2107,72,D,3,3,34,0,NA,2,26,0,NA,1,19,0,NA,2,20,0,NA,2,22,0,NA,1,15,0,NA
Dimona,2107,217,A,9,NA,NA,NA,NA,2,14,0,3,2,24,0,NA,1,26,0,NA,2,24,0,NA,2,20,0,NA
Dimona,2107,29,A,9,2,25,0,NA,2,41,0,NA,3,38,0,NA,3,30,0,NA,2,35,0,NA,2,38,0,NA
Dimona,2107,105,B,9,1,19,0,NA,2,22,0,NA,NA,NA,NA,60,NA,NA,NA,60,3,31,0,NA,NA,NA,NA,60
Dimona,2107,17,A,9,2,36,0,NA,NA,NA,NA,60,NA,NA,NA,60,NA,NA,NA,60,NA,NA,NA,60,NA,NA,NA,60
Dimona,2107,129,C,9,1,40,0,NA,2,30,0,NA,NA,NA,NA,60,NA,NA,NA,60,NA,NA,NA,2,NA,NA,NA,NA
Dimona,2107,11,A,10,3,26,0,NA,3,24,0,NA,4,24,0,NA,3,25,0,NA,3,31,0,NA,3,22,0,NA
Dimona,2107,187,B,3,NA,NA,NA,NA,2,22,0,3,2,26,0,NA,1,25,0,NA,NA,NA,NA,60,NA,NA,NA,60
Dimona,2107,97,B,9,NA,NA,NA,NA,1,21,0,3,2,18,0,NA,2,18,0,NA,2,20,0,90,NA,NA,NA,60
Dimona,2107,208,B,10,NA,NA,NA,NA,1,14,0,3,1,8,0,NA,1,7,0,NA,NA,NA,NA,2,NA,NA,NA,NA
Dimona,2107,47,C,6,3,30,0,NA,4,31,0,NA,5,27,0,NA,3,33,0,NA,3,31,0,NA,3,31,0,NA
Dimona,2107,181,B,2,NA,NA,NA,NA,1,24,0,3,1,24,0,NA,2,20,0,NA,1,19,0,NA,1,12,0,NA
Dimona,2107,183,E,1,NA,NA,NA,NA,1,14,0,3,2,13,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2107,173,C,5,NA,NA,NA,NA,2,26,0,NA,3,21,0,NA,1,19,0,NA,2,23,0,NA,3,18,0,NA
Dimona,2107,285,B,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2107,237,D,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2107,277,C,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,0,1,1,13,0,NA
Dimona,2107,41,E,4,2,41,0,NA,2,43,0,NA,3,35,0,NA,3,34,0,NA,6,37,0,90,2,34,0,NA
Dimona,2107,224,E,8,NA,NA,NA,NA,1,14,0,3,2,17,0,NA,1,25,0,NA,2,27,0,NA,2,41,0,NA
Dimona,2107,258,C,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,1
Dimona,2107,77,B,3,1,23,0,NA,1,20,0,NA,NA,NA,NA,60,3,18,0,NA,2,20,0,NA,2,21,0,NA
Dimona,2107,164,D,5,NA,NA,NA,NA,2,18,0,3,NA,NA,NA,60,NA,NA,NA,60,NA,NA,NA,60,NA,NA,NA,60
Dimona,2107,3,B,3,3,31,0,NA,2,31,0,NA,2,34,0,NA,3,40,0,NA,1,22,0,NA,1,22,0,NA
Dimona,2107,6,A,5,3,18,0,NA,1,19,0,NA,2,16,0,NA,2,17,0,NA,NA,NA,NA,2,NA,NA,NA,NA
Dimona,2107,263,A,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,0,1,2,14,0,NA
Dimona,2107,140,C,6,2,20,0,NA,2,25,0,NA,2,36,0,NA,2,33,0,NA,2,29,0,NA,1,28,0,NA
Dimona,2107,210,B,10,NA,NA,NA,NA,2,16,0,3,2,21,0,NA,2,19,0,NA,2,23,0,NA,3,26,0,NA
Dimona,2107,240,B,7,NA,NA,NA,NA,NA,NA,NA,NA,2,21,0,3,1,21,0,NA,2,23,0,NA,2,20,0,NA
Dimona,2107,298,D,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,0,1
Dimona,2107,259,C,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,0,1
Dimona,2107,338,E,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2107,83,B,4,3,27,0,NA,2,32,0,NA,3,35,0,NA,3,38,0,NA,2,46,0,90,2,40,0,NA
Dimona,2108,93,B,8,NA,NA,NA,NA,1,8,0,1,1,6,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2108,66,D,10,NA,NA,NA,NA,1,13,0,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2108,345,D,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2108,266,D,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2108,80,A,2,1,12,0,NA,2,13,0,NA,1,14,0,NA,1,14,0,NA,NA,NA,NA,60,NA,NA,NA,60
Dimona,2108,36,E,8,NA,NA,NA,NA,3,48,0,3,2,40,0,NA,2,72,0,NA,5,74,0,NA,4,74,1,NA
Dimona,2108,332,B,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2108,97,C,8,2,56,0,NA,NA,NA,NA,60,1,16,0,NA,1,17,0,NA,2,27,0,NA,2,18,0,NA
Dimona,2108,92,C,6,3,23,0,NA,2,44,0,NA,3,30,0,NA,3,39,1,NA,3,70,0,NA,3,75,0,NA
Dimona,2108,63,D,1,3,20,0,NA,4,23,0,NA,4,25,0,NA,4,25,0,NA,10,26,0,NA,3,24,0,NA
Dimona,2108,181,B,2,1,9,0,NA,1,20,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2108,331,D,1,1,45,0,NA,2,50,0,NA,NA,NA,NA,60,NA,NA,NA,60,1,24,0,NA,1,21,0,NA
Dimona,2108,24,B,8,4,39,0,NA,5,50,0,NA,4,56,0,NA,4,56,0,NA,NA,NA,NA,2,NA,NA,NA,NA
Dimona,2108,241,C,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,22,0,3,2,28,0,NA,NA,NA,NA,60
Dimona,2108,247,B,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2108,280,D,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2108,256,E,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2108,346,B,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2108,26,A,6,NA,NA,NA,NA,3,34,0,40,3,32,0,NA,3,30,0,NA,2,30,0,NA,2,30,0,NA
Dimona,2108,360,D,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2108,15,C,7,5,47,0,NA,4,54,0,NA,4,58,0,NA,4,67,0,NA,2,76,0,NA,NA,NA,NA,60
Dimona,2108,67,C,10,NA,NA,NA,NA,1,22,0,3,1,22,0,NA,2,25,0,NA,2,39,0,NA,NA,NA,NA,60
Dimona,2108,263,E,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2108,296,D,6,NA,NA,NA,NA,NA,NA,NA,NA,1,7,0,1,1,7,0,NA,1,16,0,NA,1,12,0,NA
Dimona,2108,397,D,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2108,38,B,4,NA,NA,NA,NA,1,22,0,40,2,29,0,NA,3,27,0,NA,3,40,0,NA,3,30,0,NA
Dimona,2108,37,B,6,NA,NA,NA,NA,1,16,0,3,1,15,0,NA,1,20,0,NA,1,19,0,NA,NA,NA,NA,2
Dimona,2108,316,D,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2108,235,A,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,0,3,3,25,0,NA
Dimona,2108,90,D,3,NA,NA,NA,NA,1,14,0,3,1,15,0,NA,1,9,0,NA,1,13,0,NA,2,15,0,NA
Dimona,2108,250,C,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2206,29,E,7,NA,NA,NA,NA,4,31,0,3,3,34,0,NA,4,37,0,NA,4,41,0,NA,2,42,0,NA
Dimona,2206,244,C,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2206,41,E,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,0,1,NA,NA,NA,2
Dimona,2206,279,A,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2206,33,C,4,1,26,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2206,238,C,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2206,242,E,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,28,0,50
Dimona,2206,151,E,10,3,20,0,NA,3,22,0,NA,4,34,0,NA,4,46,0,NA,1,120,0,80,1,46,0,NA
Dimona,2206,286,C,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2206,173,B,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2206,98,B,5,2,35,0,NA,3,35,0,NA,NA,NA,NA,60,1,10,0,NA,2,19,0,NA,1,14,0,NA
Dimona,2206,188,D,10,NA,NA,NA,NA,1,37,0,3,2,17,0,NA,1,20,0,NA,2,31,0,NA,2,32,0,NA
Dimona,2206,324,D,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2206,162,A,8,3,37,0,NA,3,48,0,NA,3,46,0,NA,4,51,0,NA,4,54,0,NA,NA,NA,NA,60
Dimona,2206,291,B,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2206,18,E,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,0,1,2,25,0,NA
Dimona,2206,5,B,2,6,62,0,NA,6,66,0,NA,6,70,0,NA,5,79,2,NA,6,94,0,NA,5,73,0,NA
Dimona,2206,275,B,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2206,214,C,1,NA,NA,NA,NA,NA,NA,NA,NA,1,10,0,1,1,11,0,NA,1,12,0,NA,1,14,0,NA
Dimona,2206,174,D,2,NA,NA,NA,NA,NA,NA,NA,NA,1,5,0,1,1,10,0,NA,1,11,0,NA,1,15,0,NA
Dimona,2206,191,D,8,1,25,0,NA,2,30,0,NA,2,33,0,NA,2,33,0,NA,2,39,0,NA,3,37,0,NA
Dimona,2206,11,B,3,2,15,0,NA,2,19,0,NA,1,22,0,NA,1,15,0,NA,2,19,0,NA,2,15,0,NA
Dimona,2206,255,B,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2206,241,D,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2206,37,E,10,4,46,0,NA,4,40,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2206,217,B,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,2206,83,E,3,3,31,0,NA,4,32,0,NA,3,31,0,NA,3,44,0,NA,5,28,0,NA,4,30,0,NA
Dimona,2206,59,D,3,3,42,0,NA,4,10,0,NA,5,46,0,NA,8,30,0,NA,6,55,0,NA,8,50,0,NA
Dimona,2206,170,D,5,NA,NA,NA,NA,2,24,0,3,3,28,0,NA,4,25,0,NA,3,35,0,NA,1,50,0,NA
Dimona,Dimona CF,295,D,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,Dimona CF,165,A,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,Dimona CF,298,D,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,Dimona CF,110,B,8,NA,NA,NA,NA,1,15,0,3,NA,NA,NA,60,2,14,0,NA,2,19,0,NA,3,20,0,NA
Dimona,Dimona CF,39,B,6,6,67,0,NA,2,65,0,NA,NA,NA,NA,60,3,66,0,NA,5,69,0,NA,4,76,0,NA
Dimona,Dimona CF,107,C,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,0,1,2,16,0,NA
Dimona,Dimona CF,135,C,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,0,1,1,16,0,NA
Dimona,Dimona CF,93,B,10,2,70,0,NA,4,67,0,NA,NA,NA,NA,60,3,51,0,NA,3,43,0,NA,3,40,0,NA
Dimona,Dimona CF,138,D,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,Dimona CF,19,A,2,2,14,0,NA,2,14,0,NA,NA,NA,NA,60,1,14,0,NA,1,19,0,NA,3,13,0,NA
Dimona,Dimona CF,140,D,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,Dimona CF,63,D,10,1,44,0,NA,2,18,0,NA,NA,NA,NA,60,1,26,0,NA,NA,NA,NA,60,1,15,0,NA
Dimona,Dimona CF,89,F,8,4,64,0,NA,3,49,1,NA,NA,NA,NA,60,3,69,0,NA,3,59,0,NA,2,32,0,NA
Dimona,Dimona CF,173,B,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,Dimona CF,112,E,10,NA,NA,NA,NA,1,12,0,3,NA,NA,NA,60,2,17,0,NA,1,19,0,NA,2,18,0,NA
Dimona,Dimona CF,197,E,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dimona,Dimona CF,81,E,9,1,25,0,NA,2,30,0,NA,NA,NA,NA,60,2,42,0,NA,2,33,0,NA,1,31,0,NA
Dimona,Dimona CF,69,A,6,1,17,0,NA,3,17,0,NA,NA,NA,NA,60,2,15,0,NA,2,17,0,NA,3,17,0,NA
Dimona,Dimona CF,108,A,6,5,35,0,NA,4,36,0,NA,NA,NA,NA,60,3,60,0,NA,3,54,0,NA,3,60,0,NA
Dimona,Dimona CF,105,B,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,2398,H,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,358,G,8,3,41,0,NA,4,40,0,NA,4,36,0,NA,3,39,0,NA,4,40,0,NA,3,28,0,NA
Esteio-Colosso,5750,188,C,8,3,128,0,NA,NA,NA,NA,60,NA,NA,NA,60,NA,NA,NA,60,NA,NA,NA,60,NA,NA,NA,60
Esteio-Colosso,5750,302,D,7,2,48,0,NA,4,27,0,NA,3,49,0,NA,4,57,0,NA,4,55,0,NA,3,40,0,NA
Esteio-Colosso,5750,1355,C,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,444,J,6,1,26,0,NA,1,33,0,NA,2,39,0,NA,3,35,0,NA,3,44,0,NA,4,38,0,NA
Esteio-Colosso,5750,873,J,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,1410,G,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,123,A,9,1,52,0,NA,1,36,0,NA,2,46,0,NA,1,59,0,NA,2,51,0,NA,2,29,0,NA
Esteio-Colosso,5750,428,J,8,2,48,0,NA,3,48,0,NA,2,56,0,NA,4,51,0,NA,6,61,0,NA,4,60,1,NA
Esteio-Colosso,5750,1370,G,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,346,E,6,5,58,1,NA,2,49,0,NA,1,29,0,NA,2,46,0,NA,3,45,0,NA,3,35,0,NA
Esteio-Colosso,5750,671,I,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,0,1,1,10,0,NA
Esteio-Colosso,5750,595,B,6,NA,NA,NA,NA,NA,NA,NA,NA,1,9,0,1,1,11,0,NA,2,11,0,90,1,9,0,NA
Esteio-Colosso,5750,413,J,10,2,44,0,NA,2,38,0,NA,3,39,0,NA,4,41,0,NA,5,40,0,NA,3,40,0,NA
Esteio-Colosso,5750,469,B,7,NA,NA,NA,NA,1,6,0,1,1,6,0,NA,1,10,0,NA,1,12,0,NA,1,10,0,NA
Esteio-Colosso,5750,1401,H,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,331,D,6,3,39,0,NA,3,46,0,NA,4,29,0,NA,4,43,0,NA,3,61,0,NA,4,51,0,NA
Esteio-Colosso,5750,1351,C,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,393,I,6,2,26,0,NA,4,30,0,NA,5,29,0,NA,4,32,0,NA,5,31,0,NA,2,32,0,NA
Esteio-Colosso,5750,473,B,6,3,37,0,NA,3,34,0,NA,3,33,0,NA,2,25,0,NA,1,21,0,NA,1,12,0,NA
Esteio-Colosso,5750,153,A,10,1,17,0,NA,2,18,0,NA,2,17,0,NA,2,23,0,NA,3,25,0,NA,2,24,0,NA
Esteio-Colosso,5750,224,F,6,1,20,0,NA,1,21,0,NA,2,23,0,NA,3,18,0,NA,2,25,0,NA,2,21,0,NA
Esteio-Colosso,5750,1395,B,6,4,65,0,NA,5,89,0,NA,5,82,0,NA,6,63,0,NA,5,81,0,NA,4,70,0,NA
Esteio-Colosso,5750,578,J,8,NA,NA,NA,NA,NA,NA,NA,NA,1,25,0,3,1,17,0,NA,3,18,0,NA,4,20,0,NA
Esteio-Colosso,5750,453,A,6,NA,NA,NA,NA,1,2,0,1,1,8,0,NA,1,9,0,NA,1,10,0,NA,NA,NA,NA,2
Esteio-Colosso,5750,691,C,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,0,1,1,10,0,NA
Esteio-Colosso,5750,576,J,9,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,790,J,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,0,1,1,18,0,NA,2,28,0,NA
Esteio-Colosso,5750,118,A,7,3,45,0,NA,3,15,0,NA,3,40,0,NA,3,47,0,NA,4,47,0,NA,4,41,0,NA
Esteio-Colosso,5750,168,E,9,5,37,0,NA,5,44,0,NA,5,42,0,NA,6,48,0,NA,6,58,0,NA,6,73,0,NA
Esteio-Colosso,5750,2360,A,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,871,J,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,581,E,8,NA,NA,NA,NA,NA,NA,NA,NA,1,10,0,1,1,10,0,NA,1,9,0,NA,2,10,0,NA
Esteio-Colosso,5750,2329,J,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,967,E,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,2015,J,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,1301,H,8,4,122,1,NA,3,108,0,NA,4,89,0,NA,3,83,0,NA,2,70,0,NA,2,55,0,NA
Esteio-Colosso,5750,1442,B,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,0,1,1,5,0,NA
Esteio-Colosso,5750,2100,I,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,217,E,7,1,22,0,NA,2,22,0,NA,2,27,0,NA,2,25,0,NA,2,21,0,NA,1,14,0,NA
Esteio-Colosso,5750,928,G,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,1387,I,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,589,I,9,NA,NA,NA,NA,NA,NA,NA,NA,1,7,0,1,1,6,0,NA,1,7,0,NA,1,7,0,NA
